	logFC	AveExpr	t	P.Value	FDR	B
HCG9	-0.822381765	5.969082398	2.177017844	0.064079833	0.395714987	-4.388828948
MED16	0.483471564	7.853547583	-2.176908193	0.064090424	0.395714987	-4.388986546
STIP1	0.457980719	13.84550322	-2.17674449	0.064106238	0.395714987	-4.389221828
IFRD2	0.419252731	10.29947193	-2.176135488	0.064165105	0.395856806	-4.39009709
CDKN2C	-0.400976333	8.944344509	2.176082233	0.064170256	0.395856806	-4.390173627
CELA2B	0.537314505	5.07383878	-2.175603279	0.064216594	0.395888515	-4.390861948
LIMCH1	-0.325030329	10.87639185	2.175501833	0.064226413	0.395888515	-4.391007735
PDXK	-0.413107811	10.72586859	2.175010244	0.064274015	0.395888515	-4.391714181
KRTAP10-3	0.491942339	5.07263772	-2.174950613	0.064279792	0.395888515	-4.391799873
FAM230B	-0.49147563	5.22212502	2.174920634	0.064282696	0.395888515	-4.391842953
MAPT-IT1	0.386670214	5.014065492	-2.174757183	0.064298534	0.395888515	-4.392077834
WDTC1	-0.389479684	8.617804081	2.174371773	0.064335893	0.395992146	-4.392631661
ERLIN2	-0.378020452	10.45377304	2.173218986	0.064447768	0.396554208	-4.394288086
UNKL	0.508634102	7.020035527	-2.172704977	0.064497713	0.396679232	-4.395026606
PNPLA1	-0.376883425	5.914302208	2.17251988	0.064515708	0.396679232	-4.395292544
SERPINF1	-0.448282182	7.818349019	2.172256426	0.06454133	0.396679232	-4.395671053
MYCBPAP	-0.787383922	5.827531553	2.172163777	0.064550343	0.396679232	-4.395804161
PHF5A	0.336035606	10.20403469	-2.17144248	0.064620552	0.39698422	-4.396840409
CADM3-AS1	-0.438901297	5.231042585	2.170820077	0.064681197	0.397230273	-4.397734531
FCGR3A	-0.848496992	5.964914516	2.170155689	0.064745995	0.397501668	-4.398688914
CCER1	-0.748986078	5.800646573	2.169849357	0.064775893	0.397558697	-4.399128938
RUBCN	0.3714176	8.384505022	-2.168966489	0.06486214	0.397961412	-4.400397048
RPS28	-0.355735448	13.7130448	2.167877999	0.064968631	0.39836186	-4.401960372
ABI3	0.909730115	6.541503073	-2.167877193	0.06496871	0.39836186	-4.401961529
PRKD1	0.485957559	6.469269259	-2.167191858	0.065035848	0.39846462	-4.402945755
NOL6	0.345613751	10.35712101	-2.167144415	0.065040499	0.39846462	-4.403013887
ZNF606	0.672703125	6.304323614	-2.167073618	0.065047439	0.39846462	-4.403115557
G0S2	0.325233383	9.408767559	-2.16681236	0.065073055	0.398485632	-4.403490735
ACADM	-0.365036927	8.479340567	2.16661734	0.065092184	0.398485632	-4.403770789
PSME3	0.384083554	12.05442279	-2.165858309	0.065166687	0.398773828	-4.404860729
SMAD5	-0.351514901	8.983786691	2.165716601	0.065180606	0.398773828	-4.405064208
TUBA1C	0.360913919	13.25480213	-2.164380589	0.065311977	0.399450866	-4.406982474
UBIAD1	0.365075175	10.73035939	-2.164094921	0.065340101	0.399496212	-4.407392612
RAMAC	0.518274003	6.49799184	-2.163465373	0.065402123	0.399748718	-4.408296428
TXNDC8	-0.449483155	5.353097382	2.162968444	0.065451121	0.39986329	-4.409009813
MAP3K9	0.490694305	8.662333082	-2.162560634	0.065491359	0.39986329	-4.409595237
AFAP1-AS1	0.605603695	10.82990675	-2.162486442	0.065498682	0.39986329	-4.409701739
DEFB103B	-0.487860615	4.597088015	2.162425548	0.065504693	0.39986329	-4.409789153
F8A1	0.337254656	9.455735129	-2.16211401	0.065535455	0.39986329	-4.410236356
C1QL2	0.455650949	5.13844237	-2.161810213	0.065565467	0.39986329	-4.410672435
NDOR1	0.391826719	8.342599525	-2.161805107	0.065565971	0.39986329	-4.410679765
FZD1	-0.518670839	7.480315691	2.161280815	0.065617798	0.399957728	-4.411432322
TTLL3	-0.316169887	7.969241603	2.161056148	0.065640018	0.399957728	-4.411754794
PRDM7	0.573065946	5.642476021	-2.161019354	0.065643658	0.399957728	-4.411807605
MALT1	0.526619313	8.632339084	-2.160399182	0.065705039	0.400188232	-4.412697721
OSR2	0.336201697	7.780467979	-2.160101195	0.065734552	0.400188232	-4.413125396
GLYATL2	-0.681125699	5.848983743	2.159713175	0.065773002	0.400188232	-4.413682272
MTMR4	-0.482509598	8.81023012	2.159684332	0.065775861	0.400188232	-4.413723665
NLRP3	-0.32543374	5.595570525	2.159589931	0.065785219	0.400188232	-4.413859144
NUBPL	-0.336390318	7.379726169	2.159154495	0.065828403	0.400324682	-4.414484041
DNAAF9	-0.732634287	7.207230564	2.158291449	0.065914077	0.400592105	-4.415722532
BHLHE40	0.410749278	11.12636471	-2.158107451	0.065932357	0.400592105	-4.415986561
IL17C	0.503335896	6.380572434	-2.15808409	0.065934678	0.400592105	-4.416020083
KCNMB3	0.872344797	10.91213448	-2.15762997	0.065979817	0.400719033	-4.416671706
DUSP12	0.327127565	9.608188759	-2.157456011	0.065997116	0.400719033	-4.416921315
DDX60	-0.554309496	8.162127149	2.156990524	0.066043429	0.400874053	-4.417589211
ELMOD1	0.423127202	5.081306326	-2.156257916	0.066116384	0.401190639	-4.418640326
ERMARD	-0.437705816	8.067172012	2.155985531	0.066143529	0.401229142	-4.419031115
ZDHHC23	-0.39805035	7.951665673	2.155274444	0.066214446	0.401347139	-4.420051262
TRIM27	0.330234384	10.66097969	-2.155212511	0.066220627	0.401347139	-4.420140109
TMEM78	-0.623891945	5.096974199	2.155164692	0.066225399	0.401347139	-4.420208709
KCNMA1	-1.512653538	6.140211263	2.15457898	0.066283879	0.401524323	-4.421048933
CFAP61	-0.528741423	5.462633149	2.154454986	0.066296266	0.401524323	-4.421226801
NTRK2	-0.499522202	5.158050097	2.153433082	0.06639844	0.401931914	-4.422692635
NME1-NME2	0.338074915	12.05879864	-2.153019593	0.066439827	0.401931914	-4.423285712
OR2A42	0.592817013	7.840053642	-2.152874548	0.06645435	0.401931914	-4.423493748
GNAQ	-0.328900507	10.62094444	2.152468116	0.066495065	0.401931914	-4.424076674
PLEKHG4B	-0.717076941	5.803584874	2.152317445	0.066510165	0.401931914	-4.424292769
OPN1MW	0.492149254	4.629576604	-2.152105755	0.066531385	0.401931914	-4.424596373
PEX11B	-0.358620048	11.30149649	2.151913642	0.066550649	0.401931914	-4.424871896
RERGL	0.462586525	5.036019663	-2.151853273	0.066556704	0.401931914	-4.424958473
AP1G1	-0.351359149	10.03895797	2.151664426	0.066575647	0.401931914	-4.425229306
DNAJA2	0.347629893	11.75137174	-2.151606053	0.066581504	0.401931914	-4.425313019
GTF3C3	-0.33602331	10.0159112	2.15149385	0.066592763	0.401931914	-4.425473931
QPCT	-0.354098362	10.85580537	2.150790013	0.066663432	0.402188953	-4.426483272
EIF4G1	0.456775329	11.99188885	-2.150581896	0.066684342	0.402188953	-4.426781709
TAS2R13	0.462076644	5.248233682	-2.150426714	0.066699938	0.402188953	-4.427004237
KRT27	-0.374313153	4.992850508	2.15021487	0.066721234	0.402188953	-4.427308009
ISL1	-0.823501992	5.201978081	2.14994449	0.066748425	0.402188953	-4.427695713
PDCD2	0.330012205	9.419900454	-2.149443998	0.066798786	0.402188953	-4.428413352
POU2F2	-0.687551728	6.887358713	2.149161813	0.066827197	0.402188953	-4.428817953
TRMT1	0.401451957	9.441666408	-2.149116095	0.066831801	0.402188953	-4.428883504
ZNF658B	0.676367308	5.543970578	-2.149003893	0.066843102	0.402188953	-4.429044377
POU6F2	-0.501692707	5.376824162	2.148996511	0.066843846	0.402188953	-4.42905496
F2RL2	0.459377511	10.15187218	-2.148647968	0.066878963	0.402274774	-4.429554687
ARHGAP15	-0.698377161	5.622211457	2.148005365	0.066943757	0.402511854	-4.430475979
FAM151B	0.535250919	5.371513955	-2.147592506	0.066985418	0.402511854	-4.431067863
TET3	0.423024588	6.681678555	-2.147212019	0.067023836	0.402511854	-4.431613317
FZD5	-0.377505079	10.7048706	2.147046903	0.067040514	0.402511854	-4.431850016
LONRF2	0.570952634	8.088350245	-2.146846701	0.067060743	0.402511854	-4.432137008
H1-1	0.665910131	8.174051841	-2.146483872	0.067097418	0.402511854	-4.432657114
ZBTB33	0.345196964	8.665430579	-2.146310385	0.067114961	0.402511854	-4.432905796
PARP14	-0.3477989	11.27943271	2.146182698	0.067127876	0.402511854	-4.433088824
LHX5	-0.431217237	5.370687383	2.146157002	0.067130475	0.402511854	-4.433125658
LARP7	-0.360914339	10.25416285	2.146083039	0.067137958	0.402511854	-4.433231677
MAP7D3	0.618179979	5.674564858	-2.145984693	0.067147908	0.402511854	-4.433372644
NHLRC2	0.417424028	8.869488856	-2.145311211	0.067216088	0.402795385	-4.434337973
ACP7	0.406680654	4.748089793	-2.144298887	0.067318701	0.403251173	-4.435788865
HLTF	-0.531476841	9.309374497	2.144040166	0.067344951	0.403251173	-4.43615965
OR3A1	0.391416516	5.07571668	-2.143909074	0.067358255	0.403251173	-4.43634752
ITGA6	0.342435596	10.56917849	-2.143736576	0.067375766	0.403251173	-4.436594727
WDR72	-0.506445092	6.308913827	2.14322618	0.067427605	0.403436257	-4.437326153
ZNF876P	0.581081866	5.546519553	-2.142452768	0.067506232	0.403457224	-4.438434429
MAPK3	-0.577659276	11.07941768	2.142430837	0.067508463	0.403457224	-4.438465855
FOXO4	-0.703128823	6.363453001	2.142165633	0.067535446	0.403457224	-4.438845865
FAAH2	-0.947457637	5.851010096	2.14194381	0.067558023	0.403457224	-4.439163708
ATP9B	-0.364344889	12.28024479	2.141842931	0.067568294	0.403457224	-4.439308252
ALPK3	-0.386093656	8.69845968	2.141578707	0.067595201	0.403457224	-4.439686837
CHRDL2	-0.530208758	5.554361167	2.14153213	0.067599945	0.403457224	-4.439753572
SNRPA	0.342488839	10.95239724	-2.141417565	0.067611616	0.403457224	-4.43991772
NUP50	0.37900787	10.88426781	-2.141341683	0.067619347	0.403457224	-4.440026442
STAMBP	-0.387189435	10.09560561	2.140769415	0.067677681	0.403680416	-4.440846349
RTL6	0.605154279	5.113417952	-2.13972736	0.067784031	0.403951203	-4.442339225
LARP1B	-0.340904344	9.722639523	2.139672142	0.067789671	0.403951203	-4.442418328
RASGRF2	-0.648027333	5.268569081	2.139481104	0.067809188	0.403951203	-4.442691997
TMX4	0.445392322	9.650258307	-2.139153676	0.067842651	0.403951203	-4.443161038
LINC00301	0.439711606	4.803429984	-2.138657133	0.067893429	0.403951203	-4.44387231
SLC1A2	0.446533261	5.133704592	-2.138547383	0.067904658	0.403951203	-4.444029517
PCDH12	-0.840716307	5.706384536	2.13813742	0.067946618	0.403951203	-4.444616735
KLHL21	0.480821508	8.213535146	-2.138064981	0.067954034	0.403951203	-4.444720494
TRAF3	0.442595312	8.999613215	-2.137991305	0.067961579	0.403951203	-4.444826022
COG7	-0.410413567	10.54556075	2.137965862	0.067964184	0.403951203	-4.444862463
TSLP	0.397358194	5.26028211	-2.137941326	0.067966697	0.403951203	-4.444897607
SETDB2	-0.514395391	5.267377257	2.137866403	0.06797437	0.403951203	-4.445004921
CCL17	-0.488009558	5.476662487	2.137397149	0.06802245	0.404112427	-4.445677022
INSYN1	-0.678148047	5.080281515	2.137094195	0.068053508	0.404172465	-4.44611092
KLRA1P	0.467574551	5.397874917	-2.13670267	0.068093667	0.4042865	-4.446671655
CD200R1L	-0.459974993	5.569095021	2.136031697	0.068162545	0.404316901	-4.447632559
MDM2	-0.353831958	7.345498761	2.135957894	0.068170125	0.404316901	-4.447738249
MC5R	0.319474786	5.281562519	-2.135899149	0.068176159	0.404316901	-4.447822376
IBA57	0.529083144	5.520636587	-2.135836188	0.068182627	0.404316901	-4.447912538
SYNJ2BP	-0.367084795	11.0481913	2.134981252	0.068270515	0.404468969	-4.449136787
ADCYAP1R1	-0.405479458	4.966940592	2.134724626	0.068296918	0.404468969	-4.449504251
SPDYE3	-0.389211189	9.351722586	2.134661608	0.068303404	0.404468969	-4.449594485
GAB1	-0.322071709	8.111214096	2.134651632	0.06830443	0.404468969	-4.449608769
SPAG4	-0.564245778	8.39907162	2.134567296	0.06831311	0.404468969	-4.449729528
OR51F2	0.370254754	4.921555571	-2.133740882	0.068398226	0.404848659	-4.450912794
OLR1	0.980459906	6.108773028	-2.133249756	0.068448859	0.405024076	-4.451615949
ANKRD36C	-0.435514493	9.916665875	2.132295268	0.068547369	0.405463562	-4.452982414
RDH12	-0.600208411	5.401088355	2.132122927	0.068565171	0.405463562	-4.453229127
CYP1A2	0.541512067	5.95464807	-2.131145377	0.068666233	0.405837015	-4.454628457
CCND3	0.341865665	10.89836837	-2.130895696	0.068692069	0.405837015	-4.454985846
CCL20	-0.519541889	7.572031195	2.130833803	0.068698475	0.405837015	-4.455074437
CDK5R2	0.666667967	5.143559772	-2.130698539	0.068712478	0.405837015	-4.455268048
ZNF232	0.390451626	8.898461581	-2.130466476	0.068736507	0.405854672	-4.455600203
DOCK2	0.569026887	5.749904881	-2.129977824	0.068787132	0.405880526	-4.456299599
GCG	-0.422075133	5.148416931	2.129650442	0.06882107	0.405880526	-4.456768154
UNC80	0.534107943	7.047402207	-2.129554938	0.068830974	0.405880526	-4.456904837
PDF	-0.335198784	10.00120624	2.129328848	0.068854424	0.405880526	-4.45722841
ADAM11	-0.622645908	4.750965966	2.129307033	0.068856687	0.405880526	-4.457259631
MTUS2-AS1	-0.335647135	5.048575475	2.129205218	0.068867251	0.405880526	-4.457405343
SZRD1	0.33549374	11.17245676	-2.128864689	0.068902593	0.405880526	-4.457892676
PIGG	0.345972092	9.336310173	-2.12876343	0.068913106	0.405880526	-4.458037587
POLA2	0.328745001	11.29622133	-2.128489085	0.068941596	0.405880526	-4.458430189
TNFRSF1A	0.411858982	12.06880716	-2.128395718	0.068951295	0.405880526	-4.458563801
FNDC4	-0.376767005	10.17062562	2.127463614	0.069048195	0.40632693	-4.459897603
DVL3	-0.320995243	10.55729626	2.126758467	0.06912159	0.406600826	-4.46090656
ZNF473	0.353029054	9.835574275	-2.126611516	0.069136895	0.406600826	-4.461116816
ZNF713	0.706809571	5.244660045	-2.125184067	0.069285741	0.407053735	-4.463159035
OR13F1	0.870757231	5.087869404	-2.125118396	0.069292597	0.407053735	-4.463252983
SUCLA2	0.380955079	10.05551683	-2.12443468	0.069364011	0.407053735	-4.464231054
H4C2	0.512208287	7.24691277	-2.123821054	0.069428165	0.407053735	-4.465108805
OR10H1	0.526748946	5.179027572	-2.123787435	0.069431682	0.407053735	-4.465156894
LAIR2	-0.675020041	5.340710332	2.123689231	0.069441955	0.407053735	-4.465297362
SRSF4	-0.331390859	11.84833526	2.123595766	0.069451734	0.407053735	-4.465431051
ZNF774	-0.811898669	6.001016165	2.123489125	0.069462893	0.407053735	-4.465583585
MBL2	0.542980909	5.959527346	-2.123416417	0.069470503	0.407053735	-4.465687582
MAGEA12	0.477380843	10.25902271	-2.123083603	0.069505344	0.407053735	-4.46616361
ST7L	0.502862943	7.98547157	-2.122891122	0.069525503	0.407053735	-4.46643891
COQ7	-0.398515267	9.60262173	2.12257107	0.069559034	0.407053735	-4.466896661
TRIM11	0.489180298	8.628420479	-2.122537894	0.069562511	0.407053735	-4.46694411
WDR91	-0.401493278	9.819381656	2.122436388	0.06957315	0.407053735	-4.467089284
DOCK10	0.836138211	6.557864156	-2.122042184	0.069614481	0.407053735	-4.467653063
CLDN11	-0.654277323	5.516903447	2.121752859	0.069644831	0.407053735	-4.468066833
ASB3	-0.346832077	9.968004818	2.121433447	0.069678352	0.407053735	-4.468523617
CD163	0.593597154	5.930836743	-2.121349173	0.069687199	0.407053735	-4.468644133
ITGA11	0.441632763	8.188058853	-2.121300584	0.069692301	0.407053735	-4.468713618
CGB5	0.611440488	6.491288153	-2.121033029	0.069720398	0.407053735	-4.469096227
CELF5	-0.628259024	5.461486344	2.120841982	0.069740467	0.407053735	-4.469369421
NFATC3	-0.339790932	11.82593184	2.120751315	0.069749994	0.407053735	-4.469499072
RMDN2	-0.536149569	8.670668632	2.120707163	0.069754634	0.407053735	-4.469562207
BNIP2	0.362859992	8.279715975	-2.120705753	0.069754782	0.407053735	-4.469564224
MYH7	-0.687314525	5.354903192	2.120691614	0.069756268	0.407053735	-4.469584442
GTPBP8	0.524594422	7.360902454	-2.120631807	0.069762553	0.407053735	-4.469669962
FBXO38	-0.323858327	10.96201436	2.12014954	0.069813257	0.407109217	-4.470359562
AGPAT4-IT1	0.736524001	6.609587418	-2.120124012	0.069815942	0.407109217	-4.470396063
OXSR1	-0.310166211	9.569146621	2.119939266	0.069835376	0.407109217	-4.470660224
MINPP1	-0.380732147	9.417025183	2.119713072	0.069859177	0.407124933	-4.470983643
NPPC	0.868360275	7.317945879	-2.118971104	0.069937307	0.407418534	-4.472044482
DPPA4	-0.363214275	5.404430719	2.118833584	0.069951798	0.407418534	-4.472241094
TMEM211	0.513208945	5.499313894	-2.117980506	0.070041754	0.407819329	-4.473460682
SAMD1	0.31389896	9.958770359	-2.117353484	0.070107946	0.408001318	-4.474357026
LINC02724	-0.532215141	5.21015202	2.117189887	0.070125226	0.408001318	-4.474590883
B3GALT5-AS1	0.672967943	6.243405637	-2.116951214	0.070150444	0.408001318	-4.474932052
EXOSC3	0.347346784	11.27074222	-2.116650924	0.070182186	0.408001318	-4.475361288
METTL16	0.403498421	9.988901028	-2.116598728	0.070187704	0.408001318	-4.475435896
GSTA2	-0.410272513	10.38018144	2.116483246	0.070199916	0.408001318	-4.475600962
LOC202181	-0.7137096	5.27486871	2.116082794	0.070242277	0.408124556	-4.476173341
HSF5	0.430830874	4.774435785	-2.11587609	0.070264153	0.408128729	-4.476468779
PNO1	0.311036625	9.873379063	-2.115564931	0.070297096	0.408197166	-4.476913504
ZNF10	-0.363000512	7.212017424	2.115286801	0.070326556	0.408245338	-4.477311009
ACADSB	-0.617273085	7.546365202	2.114990303	0.070357974	0.408304849	-4.477734755
C22orf31	0.418863164	5.616771555	-2.114181907	0.070443706	0.40849475	-4.478890026
TEX12	-0.388159078	5.263890479	2.114156522	0.0704464	0.40849475	-4.478926301
HSPB7	0.386510908	5.42037039	-2.114082775	0.070454227	0.40849475	-4.479031687
CD58	0.368014325	8.455840484	-2.113064675	0.070562362	0.408998788	-4.480486496
OSTM1	-0.316934169	8.497415093	2.112551755	0.070616903	0.409191968	-4.481219374
CCDC85B	0.414428187	8.817331749	-2.110921499	0.070790533	0.409751286	-4.483548489
NME1	0.353261283	12.26206681	-2.110748526	0.070808981	0.409751286	-4.483795591
IHH	-0.605879142	5.54617809	2.110190955	0.070868477	0.409751286	-4.484592079
IL5RA	-0.93720797	6.210949005	2.109886046	0.070901034	0.409751286	-4.485027623
OR6C68	0.344831053	4.970792446	-2.109853696	0.070904489	0.409751286	-4.485073833
TMEM116	-0.468554622	8.974896169	2.109764478	0.070914018	0.409751286	-4.485201272
KNSTRN	-0.337377748	10.34870355	2.10946296	0.070946233	0.409751286	-4.485631953
ZNF423	-0.4289522	5.34567807	2.10945533	0.070947049	0.409751286	-4.485642851
C1QL1	-0.638335097	7.552781601	2.10940697	0.070952217	0.409751286	-4.485711926
CYP4F2	-0.394524621	10.24138272	2.109345538	0.070958783	0.409751286	-4.485799671
PCNA	-0.337714251	12.75970723	2.109338689	0.070959515	0.409751286	-4.485809454
POGLUT2	-0.397359623	7.768447318	2.109256243	0.070968328	0.409751286	-4.485927215
NPHP3	-0.323823738	8.185170421	2.108797177	0.071017419	0.409819586	-4.486582894
NPTN	0.32527398	12.31125854	-2.108517758	0.071047315	0.409819586	-4.486981971
IGF2BP3	-0.389501322	11.90198874	2.108332164	0.07106718	0.409819586	-4.487247037
DKK1	-0.369065764	11.21101702	2.108207524	0.071080524	0.409819586	-4.487425045
LOC401127	1.439178886	9.572566551	-2.108152799	0.071086383	0.409819586	-4.487503202
KIFBP	-0.377414866	10.71454193	2.107932645	0.07110996	0.409833026	-4.487817615
LOC644936	0.890017592	13.53150692	-2.107451314	0.071161535	0.410007769	-4.488505002
COL23A1	-0.90130689	5.421686661	2.10647357	0.071266414	0.410489439	-4.489901211
PURA	-0.721461118	6.72170249	2.106241991	0.071291277	0.410510072	-4.490231883
MAGED2	-0.308361665	11.34702931	2.105599073	0.071360348	0.410724442	-4.491149867
HERC5	0.494198813	5.253702234	-2.105499143	0.07137109	0.410724442	-4.491292545
IFT74	0.739452255	5.740730238	-2.105035345	0.071420966	0.410888887	-4.491954731
ZMYND19	0.393626234	9.185168036	-2.103960458	0.07153669	0.41143195	-4.493489272
PAQR5	-0.941666308	5.541920116	2.103400774	0.071597021	0.411542103	-4.494288227
XRCC3	0.370605099	7.181886468	-2.103386944	0.071598512	0.411542103	-4.49430797
IGLC1	-0.481501018	6.421869013	2.10266738	0.071676152	0.411756084	-4.495335087
ADCY1	-0.37805952	4.61642775	2.10264627	0.071678431	0.411756084	-4.495365219
ANKRD52	0.431816654	10.422796	-2.102129379	0.071734256	0.41191867	-4.496102989
DAOA	-0.37052834	5.668939005	2.101988838	0.071749442	0.41191867	-4.496303578
ASAP1-IT1	-0.606024125	6.887026347	2.101640337	0.071787113	0.411933971	-4.496800973
ZNF280A	-0.805337098	6.207744338	2.101569088	0.071794817	0.411933971	-4.496902659
POTEE	-0.598587596	5.746537694	2.101202929	0.071834421	0.412038652	-4.497425231
ETV1	-0.332703186	9.732519649	2.100987701	0.071857711	0.412049717	-4.49773239
PLXDC2	-0.609275496	5.570720461	2.100730149	0.071885591	0.412087086	-4.498099942
H3C3	0.378668378	5.589435558	-2.100206195	0.071942341	0.412223746	-4.498847645
HNF1A	0.583865172	9.586650379	-2.100115487	0.07195217	0.412223746	-4.498977083
ACHE	-0.712732259	5.892572374	2.099541681	0.072014379	0.412370831	-4.499795873
LINC00242	0.492665066	5.195782825	-2.099470541	0.072022095	0.412370831	-4.499897382
GFUS	0.360529985	11.33071754	-2.098966185	0.072076824	0.412370831	-4.500617023
LGR4	-0.45959039	9.602419708	2.098788666	0.072096097	0.412370831	-4.500870309
EIF3FP2	0.418285805	9.955130486	-2.098765475	0.072098615	0.412370831	-4.500903397
CNTRL	-0.409857628	10.06076971	2.09869648	0.072106108	0.412370831	-4.501001838
ATP1B2	0.572996857	4.923033229	-2.098124506	0.072168249	0.412504789	-4.501817891
CTNNA2	-0.422078747	5.129611333	2.098087238	0.0721723	0.412504789	-4.501871062
SERTAD1	0.417647183	7.959334844	-2.097481787	0.07223814	0.412642491	-4.502734822
NMNAT2	0.665435982	5.881107928	-2.097457202	0.072240814	0.412642491	-4.502769895
ZG16	-0.478979349	5.368347476	2.097120148	0.072277495	0.412642491	-4.503250725
GPC6	-0.415154802	8.122756869	2.0970625	0.07228377	0.412642491	-4.503332962
MANEA	-0.420848716	8.508083259	2.096882665	0.07230335	0.412642491	-4.5035895
DUSP16	-0.329254372	10.11932062	2.096603593	0.072333745	0.412693859	-4.503987591
LSM4	-0.349072274	12.06743076	2.096343778	0.072362054	0.412733299	-4.504358204
TNNC1	0.420508901	5.519380803	-2.096142708	0.072383969	0.412736261	-4.504645012
PCDHGC4	0.51749412	4.925843104	-2.095593489	0.072443865	0.412828562	-4.505428392
IQSEC1	0.478267283	8.139096823	-2.095529258	0.072450873	0.412828562	-4.505520005
MAGEE1	0.678356152	6.659717308	-2.094947897	0.072514334	0.412828562	-4.506349177
BCL2	-1.105779443	6.312800076	2.094932845	0.072515978	0.412828562	-4.506370645
SYT10	-0.635402462	5.276824665	2.094885885	0.072521106	0.412828562	-4.50643762
TSSK4	-0.400644546	8.302604373	2.094817607	0.072528564	0.412828562	-4.506534997
BBS7	-0.495572291	8.034683698	2.094286219	0.072586629	0.413014166	-4.507292841
DYNC1I1	-0.499655898	5.225762915	2.094127386	0.072603994	0.413014166	-4.507519352
PIFO	-0.390977326	5.342845432	2.093571512	0.072664798	0.413216011	-4.508312057
GAS2L1	0.684326802	8.873758462	-2.093275817	0.072697163	0.413216011	-4.508733715
ERC2-IT1	-0.624888338	5.60779195	2.093215746	0.07270374	0.413216011	-4.508819373
ARHGEF15	-0.396008585	5.458078488	2.092588973	0.072772396	0.413218098	-4.509713095
KCNC4	0.780826185	7.373980469	-2.09255492	0.072776128	0.413218098	-4.509761649
TPM2	0.333785032	12.62806609	-2.092440833	0.072788633	0.413218098	-4.509924319
S100A16	0.349221961	12.2768075	-2.092430254	0.072789792	0.413218098	-4.509939404
ATF7	0.427830867	8.974014955	-2.091770724	0.072862123	0.41347417	-4.510879752
SPINK2	-0.997328071	5.066466883	2.091628143	0.07287777	0.41347417	-4.511083035
LTB4R	-0.481509865	9.467354368	2.091152586	0.072929979	0.413648722	-4.511761026
PPP2R3C	0.362362344	8.661133155	-2.090838464	0.072964486	0.413722791	-4.512208844
ZNF354B	0.384962452	5.74038562	-2.089451964	0.073116988	0.414372108	-4.514185289
THG1L	0.373633508	9.622430689	-2.08847722	0.073224389	0.414372108	-4.515574601
EFNB1	0.353989002	9.953346012	-2.088207311	0.073254156	0.414372108	-4.515959281
ADGRG1	0.44944096	5.248991883	-2.087789707	0.073300236	0.414372108	-4.516554436
PKIA	-0.430867589	4.829570201	2.087639492	0.073316818	0.414372108	-4.516768509
DAB1	-0.593312688	5.18052483	2.087514299	0.073330641	0.414372108	-4.516946922
ACTR6	-0.354015469	8.448376571	2.087473567	0.073335138	0.414372108	-4.517004969
LOC284581	0.812534749	6.795295788	-2.087206521	0.073364634	0.414372108	-4.517385526
GPD1L	-0.368779947	9.302728875	2.087144798	0.073371453	0.414372108	-4.517473484
TMEM94	-0.309022278	9.107510825	2.087093998	0.073377066	0.414372108	-4.517545875
MED20	-0.484773118	10.82376778	2.087081523	0.073378444	0.414372108	-4.517563652
PSENEN	-0.364888192	10.87428611	2.086939931	0.073394091	0.414372108	-4.517765423
MT1DP	-0.542644445	5.499052893	2.086927887	0.073395422	0.414372108	-4.517782586
CRY1	-0.454565121	8.727039314	2.086860105	0.073402913	0.414372108	-4.517879175
ZNF394	-0.314623112	9.671293186	2.086729725	0.073417326	0.414372108	-4.518064964
PSG6	0.642600885	8.808028674	-2.08668112	0.073422699	0.414372108	-4.518134224
GPRC5D	0.482323832	7.370253793	-2.086300078	0.073464839	0.414383275	-4.518677185
PTPRM	-0.383970603	10.20917489	2.086216277	0.07347411	0.414383275	-4.518796592
BARD1	-0.396895347	8.454115548	2.086080589	0.073489123	0.414383275	-4.518989931
ALG12	0.373981004	9.370555747	-2.085168572	0.073590114	0.414831472	-4.520289374
LMOD3	0.46226422	5.085863282	-2.084401676	0.073675141	0.415189444	-4.521381948
SP3P	0.521509625	8.225190312	-2.083936614	0.07372675	0.415297208	-4.522044465
TMEM229B	-0.73095621	5.326732924	2.083816955	0.073740035	0.415297208	-4.522214923
SCP2	-0.375317035	11.05281799	2.083647514	0.073758851	0.415297208	-4.522456293
PHLDB3	0.605024619	6.533778334	-2.083193997	0.073809235	0.41545963	-4.523102311
HELZ	-0.324165831	11.03351915	2.082572627	0.073878323	0.415647432	-4.523987377
FNDC5	-0.436959584	5.439846159	2.082085143	0.073932569	0.415647432	-4.524681696
CHCHD10	0.388087385	8.943394783	-2.0817894	0.073965498	0.415647432	-4.525102902
ZBTB40	0.60755462	6.601685259	-2.08144089	0.074004321	0.415647432	-4.525599245
HERC6	-0.555643665	5.718048649	2.081351627	0.074014267	0.415647432	-4.525726368
PIK3R1	0.365426336	10.30532459	-2.08133126	0.074016537	0.415647432	-4.525755374
MLH3	0.487284916	8.683128524	-2.081270513	0.074023307	0.415647432	-4.525841885
NEXMIF	-0.495584598	4.871853317	2.08095063	0.074058968	0.415647432	-4.526297431
LOC100129034	-0.397857189	10.11534743	2.080870712	0.07406788	0.415647432	-4.526411241
NLRP1	0.395806796	6.040899091	-2.080453373	0.074114436	0.415647432	-4.527005546
TNFAIP8L1	-0.502040143	7.874153832	2.080432382	0.074116778	0.415647432	-4.527035437
C8orf76	0.33771002	9.428920006	-2.080424773	0.074117627	0.415647432	-4.527046271
